imgnetid,wnid,word,gloss
629,n03676483,"lipstick, lip rouge",makeup that is used to color the lips
630,n03680355,Loafer,a low leather step-in shoe; the top resembles a moccasin but it has a broad flat heel
631,n03690938,lotion,any of various cosmetic preparations that are applied to the skin
632,n03691459,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",electro-acoustic transducer that converts electrical signals into sounds loud enough to be heard at a distance
633,n03692522,"loupe, jeweler's loupe",small magnifying glass (usually set in an eyepiece) used by jewelers and horologists
634,n03697007,"lumbermill, sawmill",a mill for dressing logs and lumber
635,n03706229,magnetic compass,compass based on an indicator (as a magnetic needle) that points to the magnetic north
636,n03709823,"mailbag, postbag","letter carrier's shoulder bag; ""in Britain they call a mailbag a postbag"""
637,n03710193,"mailbox, letter box",a private box for delivery of mail
638,n03710637,maillot,tights for dancers or gymnasts
639,n03710721,"maillot, tank suit",a woman's one-piece bathing suit
640,n03717622,manhole cover,a flush iron cover for a manhole (as in a street)
641,n03720891,maraca,a percussion instrument consisting of a hollow gourd containing pebbles or beans; often played in pairs
642,n03721384,"marimba, xylophone",a percussion instrument with wooden bars tuned to produce a chromatic scale and with resonators; played with small mallets
643,n03724870,mask,a covering to disguise or conceal the face
644,n03729826,matchstick,a short thin stick of wood used in making matches
645,n03733131,maypole,a vertical pole or post decorated with streamers that can be held by dancers celebrating May Day
646,n03733281,"maze, labyrinth",complex system of paths or tunnels in which it is easy to get lost
647,n03733805,measuring cup,graduated cup used to measure liquid or granular ingredients
648,n03742115,"medicine chest, medicine cabinet",cabinet that holds medicines and toiletries
649,n03743016,"megalith, megalithic structure",memorial consisting of a very large stone forming part of a prehistoric structure (especially in western Europe)
650,n03759954,"microphone, mike",device for converting sound waves into electrical energy
651,n03761084,"microwave, microwave oven",kitchen appliance that cooks food by passing an electromagnetic wave through it; heat results from the absorption of energy by the water molecules in the food
652,n03763968,military uniform,prescribed identifying uniform for soldiers
653,n03764736,milk can,large can for transporting milk
654,n03769881,minibus,a light bus (4 to 10 passengers)
655,n03770439,"miniskirt, mini",a very short skirt
656,n03770679,minivan,a small box-shaped passenger van; usually has removable seats; used as a family car
657,n03773504,missile,a rocket carrying a warhead of conventional or nuclear explosives; may be ballistic or directed by remote control
658,n03775071,mitten,glove that encases the thumb separately and the other four fingers together
659,n03775546,mixing bowl,bowl used with an electric mixer
660,n03776460,"mobile home, manufactured home",a large house trailer that can be connected to utilities and can be parked in one place and used as permanent housing
661,n03777568,Model T,the first widely available automobile powered by a gasoline engine; mass-produced by Henry Ford from 1908 to 1927
662,n03777754,modem,(from a combination of MOdulate and DEModulate) electronic equipment consisting of a device used to connect computers by a telephone line
663,n03781244,monastery,the residence of a religious community
664,n03782006,monitor,electronic equipment that is used to check the quality or content of electronic transmissions
665,n03785016,moped,a motorbike that can be pedaled or driven by a low-powered gasoline engine
666,n03786901,mortar,a bowl-shaped vessel in which substances can be ground and mixed with a pestle
667,n03787032,mortarboard,an academic cap with a flat square with a tassel on top
668,n03788195,mosque,(Islam) a Muslim place of worship that usually has a minaret
669,n03788365,mosquito net,a fine net or screen (especially around beds) to protect against mosquitos
670,n03791053,"motor scooter, scooter",a wheeled vehicle with small wheels and a low-powered gasoline engine geared to the rear wheel
671,n03792782,"mountain bike, all-terrain bike, off-roader",a bicycle with a sturdy frame and fat tires; originally designed for riding in mountainous country
672,n03792972,mountain tent,a lightweight tent with a floor; flaps close with a zipper
673,n03793489,"mouse, computer mouse","a hand-operated electronic device that controls the coordinates of a cursor on your computer screen as you move it around on a pad; on the bottom of the device is a ball that rolls on the surface of the pad; ""a mouse takes much more room than a trackball"""
674,n03794056,mousetrap,a trap for catching mice
675,n03796401,moving van,a van used for moving home or office furniture
676,n03803284,muzzle,a leather or wire restraint that fits over an animal's snout (especially a dog's nose and jaws) and prevents it from eating or biting
677,n03804744,nail,a thin pointed piece of metal that is hammered into materials as a fastener
678,n03814639,neck brace,a brace worn to steady the neck
679,n03814906,necklace,jewelry consisting of a cord or chain (often bearing gems) worn about the neck as an ornament (especially by women)
680,n03825788,nipple,a flexible cap on a baby's feeding bottle or pacifier
681,n03832673,"notebook, notebook computer",a small compact portable computer
682,n03837869,obelisk,a stone pillar having a rectangular cross section tapering towards a pyramidal top
683,n03838899,"oboe, hautboy, hautbois",a slender double-reed instrument; a woodwind with a conical bore and a double-reed mouthpiece
684,n03840681,"ocarina, sweet potato",egg-shaped terra cotta wind instrument with a mouthpiece and finger holes
685,n03841143,"odometer, hodometer, mileometer, milometer",a meter that shows mileage traversed
686,n03843555,oil filter,a filter that removes impurities from the oil used to lubricate an internal-combustion engine
687,n03854065,"organ, pipe organ",wind instrument whose sound is produced by means of pipes arranged in sets supplied with air from a bellows and controlled from a large complex musical keyboard
688,n03857828,"oscilloscope, scope, cathode-ray oscilloscope, CRO",electronic equipment that provides visual images of varying electrical quantities
689,n03866082,overskirt,an outer skirt worn over another skirt
690,n03868242,oxcart,a cart that is drawn by an ox
691,n03868863,oxygen mask,a breathing device that is placed over the mouth and nose; supplies oxygen from an attached storage tank
692,n03871628,packet,a small package or bundle
693,n03873416,"paddle, boat paddle",a short light oar used without an oarlock to propel a canoe or small boat
694,n03874293,"paddlewheel, paddle wheel",a large wheel fitted with paddles and driven by an engine in order to propel a boat
695,n03874599,padlock,a detachable lock; has a hinged shackle that can be passed through the staple of a hasp or the links in a chain and then snapped shut
696,n03876231,paintbrush,a brush used as an applicator (to apply paint)
697,n03877472,"pajama, pyjama, pj's, jammies",(usually plural) loose-fitting nightclothes worn for sleeping or lounging; have a jacket top and trousers
698,n03877845,palace,official residence of an exalted person (as a sovereign)
699,n03884397,"panpipe, pandean pipe, syrinx",a primitive wind instrument consisting of several parallel pipes bound together
700,n03887697,paper towel,a disposable towel made of absorbent paper
701,n03888257,"parachute, chute",rescue equipment consisting of a device that fills with air and retards your fall
702,n03888605,"parallel bars, bars",gymnastic apparatus consisting of two parallel wooden rods supported on uprights
703,n03891251,park bench,a bench in a public park
704,n03891332,parking meter,a coin-operated timer located next to a parking space; depositing money into it entitles you to park your car there for a specified length of time
705,n03895866,"passenger car, coach, carriage",a railcar where passengers ride
706,n03899768,"patio, terrace",usually paved outdoor area adjoining a residence
707,n03902125,"pay-phone, pay-station",a coin-operated telephone
708,n03903868,"pedestal, plinth, footstall",an architectural support or base (as for a column or statue)
709,n03908618,"pencil box, pencil case",a box for holding pencils
710,n03908714,pencil sharpener,a rotary implement for sharpening the point on pencils
711,n03916031,"perfume, essence",a toiletry that emits and diffuses a fragrant odor
712,n03920288,Petri dish,a shallow dish used to culture bacteria
713,n03924679,photocopier,a copier that uses photographic methods of making copies
714,n03929660,"pick, plectrum, plectron",a small thin device (of metal or plastic or ivory) used to pluck a stringed instrument
715,n03929855,pickelhaube,a spiked helmet worn by German soldiers
716,n03930313,"picket fence, paling",a fence made of upright pickets
717,n03930630,"pickup, pickup truck",a light truck with an open body and low sides and a tailboard
718,n03933933,pier,a support for two adjacent bridge spans
719,n03935335,"piggy bank, penny bank",a child's coin bank (often shaped like a pig)
720,n03937543,pill bottle,a small bottle for holding pills
721,n03938244,pillow,a cushion to support the head of a sleeping person
722,n03942813,ping-pong ball,light hollow ball used in playing table tennis
723,n03944341,pinwheel,"a wheel that has numerous pins that are set at right angles to its rim; ""he spun the pinwheel and it stopped with the pointer on `Go'"""
724,n03947888,"pirate, pirate ship",a ship that is manned by pirates
725,n03950228,"pitcher, ewer",an open vessel with a handle and a spout for pouring
726,n03954731,"plane, carpenter's plane, woodworking plane","a carpenter's hand tool with an adjustable blade for smoothing or shaping wood; ""the cabinetmaker used a plane for the finish work"""
727,n03956157,planetarium,a building housing an instrument for projecting the positions of the planets onto a domed ceiling
728,n03958227,plastic bag,a bag made of thin plastic material
729,n03961711,plate rack,a rack for holding plates to dry after they have been washed
730,n03967562,"plow, plough",a farm tool having one or more heavy blades to break the soil and cut a furrow prior to sowing
731,n03970156,"plunger, plumber's helper",hand tool consisting of a stick with a rubber suction cup at one end; used to clean clogged drains
732,n03976467,"Polaroid camera, Polaroid Land camera",a camera that develops and produces a positive print within seconds
733,n03976657,pole,a long (usually round) rod of wood or metal or plastic
734,n03977966,"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria",van used by police to transport prisoners
735,n03980874,poncho,a blanket-like cloak with a hole in the center for the head
736,n03982430,"pool table, billiard table, snooker table",game equipment consisting of a heavy table on which pool is played
737,n03983396,"pop bottle, soda bottle",a bottle for holding soft drinks
738,n03991062,"pot, flowerpot",a container in which plants are cultivated
739,n03992509,potter's wheel,"a horizontal rotating wheel holding the clay being shaped by a potter; ""the potter's wheel was invented in Asia Minor around 6500 BC"""
740,n03995372,power drill,a power tool for drilling holes into hard materials
741,n03998194,"prayer rug, prayer mat",a small rug used by Muslims during their devotions
742,n04004767,printer,(computer science) an output device that prints the results of data processing
743,n04005630,"prison, prison house",a correctional institution where persons are confined while on trial or for punishment
744,n04008634,"projectile, missile",a weapon that is forcibly thrown or projected at a targets but is not self-propelled
745,n04009552,projector,an optical instrument that projects an enlarged image onto a screen
746,n04019541,"puck, hockey puck",a vulcanized rubber disk 3 inches in diameter that is used instead of a ball in ice hockey
747,n04023962,"punching bag, punch bag, punching ball, punchball",an inflated ball or bag that is suspended and punched for training in boxing
748,n04026417,purse,a small bag for carrying money
749,n04033901,"quill, quill pen",pen made from a bird's feather
750,n04033995,"quilt, comforter, comfort, puff",bedding made of two layers of cloth filled with stuffing and stitched together
751,n04037443,"racer, race car, racing car",a fast car that competes in races
752,n04039381,"racket, racquet",a sports implement (usually consisting of a handle and an oval frame with a tightly interlaced network of strings) used to strike a ball (or shuttlecock) in various games
753,n04040759,radiator,a mechanism consisting of a metal honeycomb through which hot fluids circulate; heat is transferred from the fluid through the honeycomb to the airstream that is created either by the motion of the vehicle or by a fan
754,n04041544,"radio, wireless",a communication system based on broadcasting electromagnetic waves
755,n04044716,"radio telescope, radio reflector",astronomical telescope that picks up electromagnetic radiations in the radio-frequency range from extraterrestrial sources
756,n04049303,rain barrel,a barrel used as a cistern to hold rainwater
757,n04065272,"recreational vehicle, RV, R.V.",a motorized wheeled vehicle used for camping or other recreational activities
758,n04067472,reel,winder consisting of a revolving spool with a handle; attached to a fishing rod
759,n04069434,reflex camera,camera that allows the photographer to view and focus the exact scene being photographed
760,n04070727,"refrigerator, icebox",white goods in which food can be stored at low temperatures
761,n04074963,"remote control, remote","a device that can be used to control a machine or apparatus from a distance; ""he lost the remote for his TV"""
762,n04081281,"restaurant, eating house, eating place, eatery",a building where people go to eat
763,n04086273,"revolver, six-gun, six-shooter",a pistol with a revolving cylinder (usually having six chambers for bullets)
764,n04090263,rifle,"a shoulder firearm with a long barrel and a rifled bore; ""he lifted the rifle to his shoulder and fired"""
765,n04099969,"rocking chair, rocker",a chair mounted on rockers
766,n04111531,rotisserie,an oven or broiler equipped with a rotating spit on which meat cooks as it turns
767,n04116512,"rubber eraser, rubber, pencil eraser",an eraser made of rubber (or of a synthetic material with properties similar to rubber); commonly mounted at one end of a pencil
768,n04118538,rugby ball,inflated oval ball used in playing rugby
769,n04118776,"rule, ruler",measuring stick consisting of a strip of wood or metal or plastic with a straight edge that is used for drawing straight lines and measuring lengths
770,n04120489,running shoe,a light comfortable shoe designed for running
771,n04125021,safe,strongbox where valuables can be safely kept
772,n04127249,safety pin,a pin in the form of a clasp; has a guard so the point of the pin will not stick the user
773,n04131690,"saltshaker, salt shaker",a shaker with a perforated top for sprinkling salt
774,n04133789,sandal,a shoe consisting of a sole fastened by straps to the foot
775,n04136333,sarong,a loose skirt consisting of brightly colored fabric wrapped around the body; worn by both women and men in the South Pacific
776,n04141076,"sax, saxophone",a single-reed woodwind with a conical bore
777,n04141327,scabbard,a sheath for a sword or dagger or bayonet
778,n04141975,"scale, weighing machine",a measuring instrument for weighing; shows amount of mass
779,n04146614,school bus,a bus used to transport children to or from school
780,n04147183,schooner,sailing vessel used in former times
781,n04149813,scoreboard,a large board for displaying the score of a contest (and some other information)
782,n04152593,"screen, CRT screen",the display that is electronically created on the surface of the large end of a cathode-ray tube
783,n04153751,screw,a fastener with a tapered threaded shank and a slotted head
784,n04154565,screwdriver,a hand tool for driving screws; has a tip that fits into the head of a screw
785,n04162706,"seat belt, seatbelt",a safety belt used in a car or plane to hold you in your seat in case of an accident
786,n04179913,sewing machine,a textile machine used as a home appliance for sewing
787,n04192698,"shield, buckler",armor carried on the arm to intercept blows
788,n04200800,"shoe shop, shoe-shop, shoe store",a shop where shoes are sold
789,n04201297,shoji,a translucent screen made of a wooden frame covered with rice paper
790,n04204238,shopping basket,a handbasket used to carry goods while shopping
791,n04204347,shopping cart,a handcart that holds groceries or other goods while shopping
792,n04208210,shovel,a hand tool for lifting loose material; consists of a curved container or scoop and a handle
793,n04209133,shower cap,a tight cap worn to keep hair dry while showering
794,n04209239,shower curtain,a curtain that keeps water from splashing out of the shower area
795,n04228054,ski,narrow wood or metal or plastic runners used in pairs for gliding over snow
796,n04229816,ski mask,a woolen face mask to protect the face from cold while skiing on snow
797,n04235860,sleeping bag,large padded bag designed to be slept in outdoors; usually rolls up like a bedroll
798,n04238763,"slide rule, slipstick",analog computer consisting of a handheld instrument used for rapid calculations; have been replaced by pocket calculators
799,n04239074,sliding door,a door that opens by sliding instead of swinging
800,n04243546,"slot, one-armed bandit","a slot machine that is used for gambling; ""they spend hours and hours just playing the slots"""
801,n04251144,snorkel,breathing device consisting of a bent tube fitting into a swimmer's mouth and extending above the surface; allows swimmer to breathe while face down in the water
802,n04252077,snowmobile,tracked vehicle for travel on snow having skis in front
803,n04252225,"snowplow, snowplough",a vehicle used to push snow from roads
804,n04254120,soap dispenser,dispenser of liquid soap
805,n04254680,soccer ball,an inflated ball used in playing soccer
806,n04254777,sock,hosiery consisting of a cloth covering for the foot; worn inside the shoe; reaches to between the ankle and the knee
807,n04258138,"solar dish, solar collector, solar furnace",a concave mirror that concentrates the rays of the sun; can produce high temperatures
808,n04259630,sombrero,a straw hat with a tall crown and broad brim; worn in American southwest and in Mexico
809,n04263257,soup bowl,a bowl for serving soup
810,n04264628,space bar,the bar-shaped typewriter key that introduces spaces when used
811,n04265275,space heater,heater consisting of a self-contained (usually portable) unit to warm a room
812,n04266014,space shuttle,a reusable spacecraft with wings for a controlled descent through the Earth's atmosphere
813,n04270147,spatula,a turner with a narrow flexible blade
814,n04273569,speedboat,a fast motorboat
815,n04275548,"spider web, spider's web",a web resembling the webs spun by spiders
816,n04277352,spindle,a stick or pin used to twist the yarn in spinning
817,n04285008,"sports car, sport car",a small low car with a high-powered engine; usually seats two persons
818,n04286575,"spotlight, spot",a lamp that produces a strong beam of light to illuminate a restricted area; used to focus attention of a stage performer
819,n04296562,stage,"a large platform on which people can stand and can be seen by an audience; ""he clambered up onto the stage and got the actors to help him into the box"""
820,n04310018,steam locomotive,a locomotive powered by a steam engine
821,n04311004,steel arch bridge,a steel bridge constructed in the form of an arch
822,n04311174,steel drum,a concave percussion instrument made from the metal top of an oil drum; has an array of flattened areas that produce different tones when struck (of Caribbean origin)
823,n04317175,stethoscope,a medical instrument for listening to the sounds generated inside the body
824,n04325704,stole,a wide scarf worn about their shoulders by women
825,n04326547,stone wall,a fence built of rough stones; used to separate fields
826,n04328186,"stopwatch, stop watch",a timepiece that can be started or stopped for exact timing (as of a race)
827,n04330267,stove,any heating apparatus
828,n04332243,strainer,a filter to retain larger pieces while smaller pieces and liquids pass through
829,n04335435,"streetcar, tram, tramcar, trolley, trolley car",a wheeled vehicle that runs on rails and is propelled by electricity
830,n04336792,stretcher,a litter for transporting people who are ill or wounded or dead; usually consists of a sheet of canvas stretched between two poles
831,n04344873,"studio couch, day bed",convertible consisting of an upholstered couch that can be converted into a double bed
832,n04346328,"stupa, tope",a dome-shaped shrine erected by Buddhists
833,n04347754,"submarine, pigboat, sub, U-boat",a submersible warship usually armed with torpedoes
834,n04350905,"suit, suit of clothes","a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color; ""they buried him in his best suit"""
835,n04355338,sundial,timepiece that indicates the daylight hours by the shadow that the gnomon casts on a calibrated dial
836,n04355933,sunglass,a convex lens that focuses the rays of the sun; used to start a fire
837,n04356056,"sunglasses, dark glasses, shades","spectacles that are darkened or polarized to protect the eyes from the glare of the sun; ""he was wearing a pair of mirrored shades"""
838,n04357314,"sunscreen, sunblock, sun blocker",a cream spread on the skin; contains a chemical (as PABA) to filter out ultraviolet light and so protect from sunburn
839,n04366367,suspension bridge,a bridge that has a roadway supported by cables that are anchored at both ends
840,n04367480,"swab, swob, mop",cleaning implement consisting of absorbent material fastened to a handle; for cleaning floors
841,n04370456,sweatshirt,cotton knit pullover with long sleeves worn during athletic activity
842,n04371430,"swimming trunks, bathing trunks",swimsuit worn by men while swimming
843,n04371774,swing,mechanical device used as a plaything to support someone swinging back and forth
844,n04372370,"switch, electric switch, electrical switch",control consisting of a mechanical or electrical or electronic device for making or breaking or changing the connections in a circuit
845,n04376876,syringe,a medical instrument used to inject or withdraw fluids
846,n04380533,table lamp,a lamp that sits on a table
847,n04389033,"tank, army tank, armored combat vehicle, armoured combat vehicle",an enclosed armored military vehicle; has a cannon and moves on caterpillar treads
848,n04392985,tape player,electronic equipment for playing back magnetic tapes
849,n04398044,teapot,pot for brewing tea; usually has a spout and handle
850,n04399382,"teddy, teddy bear",plaything consisting of a child's toy bear (usually plush and stuffed with soft materials)
851,n04404412,"television, television system",a telecommunication system that transmits images of objects (stationary or moving) between distant points
852,n04409515,tennis ball,ball about the size of a fist used in playing tennis
853,n04417672,"thatch, thatched roof",a house roof made with a plant material (as straw)
854,n04418357,"theater curtain, theatre curtain",a hanging cloth that conceals the stage from the view of the audience; rises or parts at the beginning and descends or closes between acts and at the end of a performance
855,n04423845,thimble,a small metal cap to protect the finger while sewing; can be used as a small container
856,n04428191,"thresher, thrasher, threshing machine",a farm machine for separating seeds or grain from the husks and straw
857,n04429376,throne,"the chair of state for a monarch, bishop, etc.; ""the king sat on his throne"""
858,n04435653,tile roof,a roof made of fired clay tiles
859,n04442312,toaster,a kitchen appliance (usually electric) for toasting bread
860,n04443257,"tobacco shop, tobacconist shop, tobacconist",a shop that sells pipes and pipe tobacco and cigars and cigarettes
861,n04447861,toilet seat,the hinged seat on a toilet
862,n04456115,torch,a light usually carried in the hand; consists of some flammable substance
863,n04458633,totem pole,a tribal emblem consisting of a pillar carved and painted with totemic figures; erected by Indian tribes of the northwest Pacific coast
864,n04461696,"tow truck, tow car, wrecker",a truck equipped to hoist and pull wrecked cars (or to remove cars from no-parking zones)
865,n04462240,toyshop,shop where toys are sold
866,n04465501,tractor,a wheeled vehicle with large wheels; used in farming and other applications
867,n04467665,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",a truck consisting of a tractor and trailer together
868,n04476259,tray,an open receptacle for holding or displaying or serving articles or food
869,n04479046,trench coat,a military style raincoat; belted with deep pockets
870,n04482393,"tricycle, trike, velocipede",a vehicle with three wheels that is moved by foot pedals
871,n04483307,trimaran,a fast sailboat with 3 parallel hulls
872,n04485082,tripod,a three-legged rack used for support
873,n04486054,triumphal arch,a monumental archway; usually they are built to commemorate some notable victory
874,n04487081,"trolleybus, trolley coach, trackless trolley",a passenger bus with an electric motor that draws power from overhead wires
875,n04487394,trombone,a brass instrument consisting of a long tube whose length can be varied by a U-shaped slide
876,n04493381,"tub, vat",a large open vessel for holding or storing liquids
877,n04501370,turnstile,a gate consisting of a post that acts as a pivot for rotating arms; set in a passageway for controlling the persons entering
878,n04505470,typewriter keyboard,a keyboard for manually entering characters to be printed
879,n04507155,umbrella,a lightweight handheld collapsible canopy
880,n04509417,"unicycle, monocycle",a vehicle with a single wheel that is driven by pedals
881,n04515003,"upright, upright piano",a piano with a vertical sounding board
882,n04517823,"vacuum, vacuum cleaner",an electrical home appliance that cleans by suction
883,n04522168,vase,an open jar of glass or porcelain used as an ornament or to hold flowers
884,n04523525,vault,an arched brick or stone ceiling or roof
885,n04525038,velvet,a silky densely piled fabric with a plain back
886,n04525305,vending machine,a slot machine for selling goods
887,n04532106,vestment,gown (especially ceremonial garments) worn by the clergy
888,n04532670,viaduct,bridge consisting of a series of arches supported by piers used to carry a road (or railroad) over a valley
889,n04536866,"violin, fiddle",bowed stringed instrument that is the highest member of the violin family; this instrument has four strings and a hollow body and an unfretted fingerboard and is played with a bow
890,n04540053,volleyball,an inflated ball used in playing volleyball
891,n04542943,waffle iron,a kitchen appliance for baking waffles; the appliance usually consists of two indented metal pans hinged together so that they create a pattern on the waffle
892,n04548280,wall clock,a clock mounted on a wall
893,n04548362,"wallet, billfold, notecase, pocketbook",a pocket-size case for holding papers and paper money
894,n04550184,"wardrobe, closet, press",a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes
895,n04552348,"warplane, military plane",an aircraft designed and used for combat
896,n04553703,"washbasin, handbasin, washbowl, lavabo, wash-hand basin",a basin for washing the hands (`wash-hand basin' is a British expression)
897,n04554684,"washer, automatic washer, washing machine",a home appliance for washing clothes and linens automatically
898,n04557648,water bottle,a bottle for holding water
899,n04560804,water jug,a jug that holds water
900,n04562935,water tower,a large reservoir for water
901,n04579145,whiskey jug,a jug that contains whiskey
902,n04579432,whistle,acoustic device that forces air or steam against an edge or into a cavity and so produces a loud shrill sound
903,n04584207,wig,hairpiece covering the head and made of real or synthetic hair
904,n04589890,window screen,screen to keep insects from entering a building through the open window
905,n04590129,window shade,an opaque window blind that can cover or uncover a window
906,n04591157,Windsor tie,a wide necktie worn in a loose bow
907,n04591713,wine bottle,a bottle for holding wine
908,n04592741,wing,one of the horizontal airfoils on either side of the fuselage of an airplane
909,n04596742,wok,pan with a convex bottom; used for frying in Chinese cooking
910,n04597913,wooden spoon,a spoon made of wood
911,n04599235,"wool, woolen, woollen",a fabric made from the hair of sheep
912,n04604644,"worm fence, snake fence, snake-rail fence, Virginia fence",rail fence consisting of a zigzag of interlocking rails
913,n04606251,wreck,a ship that has been destroyed at sea
914,n04612504,yawl,a ship's small boat (usually rowed by 4 or 6 oars)
915,n04613696,yurt,a circular domed dwelling that is portable and self-supporting; originally used by nomadic Mongol and Turkic people of central Asia but now used as inexpensive alternative or temporary housing
916,n06359193,"web site, website, internet site, site","a computer connected to the internet that maintains a series of web pages on the World Wide Web; ""the Israeli web site was damaged by hostile hackers"""
917,n06596364,comic book,a magazine devoted to comic strips
918,n06785654,"crossword puzzle, crossword",a puzzle in which words corresponding to numbered clues are to be found and written in to squares in the puzzle
919,n06794110,street sign,a sign visible from the street
920,n06874185,"traffic light, traffic signal, stoplight",a visual signal to control the flow of traffic at intersections
921,n07248320,"book jacket, dust cover, dust jacket, dust wrapper",a paper jacket for a book; a jacket on which promotional information is usually printed
922,n07565083,menu,the dishes making up a meal
923,n07579787,plate,"a main course served on a plate; ""a vegetable plate""; ""the blue plate special"""
924,n07583066,guacamole,a dip made of mashed avocado mixed with chopped onions and other seasonings
925,n07584110,consomme,clear soup usually of beef or veal or chicken
926,n07590611,"hot pot, hotpot",a stew of meat and potatoes cooked in a tightly covered pot
927,n07613480,trifle,"a cold pudding made of layers of sponge cake spread with fruit or jelly; may be decorated with nuts, cream, or chocolate"
928,n07614500,"ice cream, icecream",frozen dessert containing cream and sugar and flavoring
929,n07615774,"ice lolly, lolly, lollipop, popsicle","ice cream or water ice on a small wooden stick; ""in England a popsicle is called an ice lolly"""
930,n07684084,French loaf,a loaf of French bread
931,n07693725,"bagel, beigel",(Yiddish) glazed yeast-raised doughnut-shaped roll with hard crust
932,n07695742,pretzel,glazed and salted cracker typically in the shape of a loose knot
933,n07697313,cheeseburger,a hamburger with melted cheese on it
934,n07697537,"hotdog, hot dog, red hot",a frankfurter served hot on a bun
935,n07711569,mashed potato,potato that has been peeled and boiled and then mashed
936,n07714571,head cabbage,any of several varieties of cabbage having a large compact globular head; may be steamed or boiled or stir-fried or used raw in coleslaw
937,n07714990,broccoli,branched green undeveloped flower heads
938,n07715103,cauliflower,compact head of white undeveloped flowers
939,n07716358,"zucchini, courgette",small cucumber-shaped vegetable marrow; typically dark green
940,n07716906,spaghetti squash,medium-sized oval squash with flesh in the form of strings that resemble spaghetti
941,n07717410,acorn squash,small dark green or yellow ribbed squash with yellow to orange flesh
942,n07717556,butternut squash,buff-colored squash with a long usually straight neck and sweet orange flesh
943,n07718472,"cucumber, cuke",cylindrical green fruit with thin green rind and white flesh eaten as a vegetable; related to melons
944,n07718747,"artichoke, globe artichoke",a thistlelike flower head with edible fleshy leaves and heart
945,n07720875,bell pepper,large bell-shaped sweet pepper in green or red or yellow or orange or black varieties
946,n07730033,cardoon,only parts eaten are roots and especially stalks (blanched and used as celery); related to artichokes
947,n07734744,mushroom,fleshy body of any of numerous edible fungi
948,n07742313,Granny Smith,apple with a green skin and hard tart flesh
949,n07745940,strawberry,sweet fleshy red fruit
950,n07747607,orange,round yellow to orange fruit of any of several citrus trees
951,n07749582,lemon,yellow oval fruit with juicy acidic flesh
952,n07753113,fig,fleshy sweet pear-shaped yellowish or purple multiple fruit eaten fresh or preserved or dried
953,n07753275,"pineapple, ananas",large sweet fleshy tropical fruit with a terminal tuft of stiff leaves; widely cultivated
954,n07753592,banana,elongated crescent-shaped yellow fruit with soft sweet flesh
955,n07754684,"jackfruit, jak, jack",immense East Indian fruit resembling breadfruit; it contains an edible pulp and nutritious seeds that are commonly roasted
956,n07760859,custard apple,the fruit of any of several tropical American trees of the genus Annona having soft edible pulp
957,n07768694,pomegranate,large globular fruit having many seeds with juicy red pulp in a tough brownish-red rind
958,n07802026,hay,grass mowed and cured for use as fodder
959,n07831146,carbonara,sauce for pasta; contains eggs and bacon or ham and grated cheese
960,n07836838,"chocolate sauce, chocolate syrup",sauce made with unsweetened chocolate or cocoa and sugar and water
961,n07860988,dough,a flour mixture stiff enough to knead or roll
962,n07871810,"meat loaf, meatloaf",a baked loaf of ground meat
963,n07873807,"pizza, pizza pie",Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese
964,n07875152,potpie,deep-dish meat and vegetable pie or a meat stew with dumplings
965,n07880968,burrito,a flour tortilla folded around a filling
966,n07892512,red wine,wine having a red color derived from skins of dark-colored grapes
967,n07920052,espresso,strong black coffee brewed by forcing hot water under pressure through finely ground coffee beans
968,n07930864,cup,a punch served in a pitcher instead of a punch bowl
969,n07932039,eggnog,a punch made of sweetened milk or cream mixed with eggs and usually alcoholic liquor
970,n09193705,alp,any high mountain
971,n09229709,bubble,"a hollow globule of gas (e.g., air or carbon dioxide)"
972,n09246464,"cliff, drop, drop-off","a steep high face of rock; ""he stood on a high cliff overlooking the town""; ""a steep drop"""
973,n09256479,coral reef,a reef consisting of coral consolidated into limestone
974,n09288635,geyser,a spring that discharges hot water and steam
975,n09332890,"lakeside, lakeshore",the shore of a lake
976,n09399592,"promontory, headland, head, foreland",a natural elevation (especially a rocky one that juts out into the sea)
977,n09421951,"sandbar, sand bar",a bar of sand
978,n09428293,"seashore, coast, seacoast, sea-coast",the shore of a sea or ocean
979,n09468604,"valley, vale",a long depression in the surface of the land that usually contains a river
980,n09472597,volcano,a mountain formed by volcanic material
981,n09835506,"ballplayer, baseball player",an athlete who plays baseball
982,n10148035,"groom, bridegroom",a man participant in his own marriage ceremony
983,n10565667,scuba diver,an underwater diver who uses scuba gear
984,n11879895,rapeseed,seed of rape plants; source of an edible oil
985,n11939491,daisy,any of numerous composite plants having flower heads with well-developed ray flowers usually arranged in a single whorl
986,n12057211,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum","maroon to purple-brown orchid with yellow lip; Europe, North America and Japan"
987,n12144580,corn,the dried grains or kernels or corn used as animal feed or ground for meal
